2026/06/09 13:35:55 No .env file found, using environment variables and defaults
Connected to PostgreSQL
Database migrated successfully
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> github.com/curio/backend/router.Setup.func1 (4 handlers)
[GIN-debug] GET    /api/v1/feed              --> github.com/curio/backend/handlers.GetFeed (4 handlers)
[GIN-debug] GET    /api/v1/content/:id       --> github.com/curio/backend/handlers.GetContent (4 handlers)
[GIN-debug] POST   /api/v1/content/:id/like  --> github.com/curio/backend/handlers.LikeContent (4 handlers)
[GIN-debug] GET    /api/v1/categories        --> github.com/curio/backend/handlers.GetCategories (4 handlers)
[GIN-debug] GET    /api/v1/categories/l1     --> github.com/curio/backend/handlers.GetL1Categories (4 handlers)
[GIN-debug] POST   /api/v1/feedback          --> github.com/curio/backend/handlers.SubmitFeedback (4 handlers)
2026/06/09 13:35:55 Curio backend starting on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/06/09 - 14:48:18 | 200 |    2.7ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=5&random=true"
[GIN] 2026/06/09 - 14:48:18 | 200 |   2.37ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=6&random=true"
[GIN] 2026/06/09 - 14:48:18 | 200 |   1.42ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=7&random=true"
[GIN] 2026/06/09 - 14:48:18 | 200 |   2.62ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=8&random=true"
[GIN] 2026/06/09 - 14:48:18 | 200 |   1.73ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=9&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |   2.66ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=10&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |   3.63ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=11&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |  10.45ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=12&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |   3.54ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=14&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |   2.97ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=15&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |    3.7ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=16&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |   3.79ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=17&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |   3.35ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=18&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |   3.75ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=19&random=true"
[GIN] 2026/06/09 - 14:48:19 | 200 |   2.03ms |  223.185.16.243 | GET      "/api/v1/feed?page=1&page_size=100&category_id=20&random=true"
[GIN] 2026/06/09 - 15:14:07 | 200 |   7.86ms | 2401:4900:8819:d665:90b4:1a17:19e0:5fab | GET      "/api/v1/categories/l1"
[GIN] 2026/06/09 - 15:15:53 | 200 |    1.9ms | 2401:4900:8819:d665:90b4:1a17:19e0:5fab | GET      "/api/v1/categories/l1"
